date,prix_moyen,variation_pourcentage
2021-05-01,818181.8181818182,
2021-06-01,71263000.0,8609.922222222222
2021-07-01,114500.0,-99.83932756128706
2021-08-01,211321.42857142858,84.56019962570183
2021-09-01,27500.0,-86.98664863951326
2021-10-01,40010000.0,145390.9090909091
2021-11-01,40000.0,-99.90002499375156
2021-12-01,22500.0,-43.75
2022-01-01,15000.0,-33.333333333333336
2022-02-01,14000.0,-6.666666666666665
2022-04-01,500000.0,3471.4285714285716
2022-05-01,3369166.6666666665,573.8333333333334
2022-06-01,25714.285714285714,-99.23677608565067
2022-07-01,183767500.0,714551.3888888889
2022-08-01,212833.33333333334,-99.88418336575656
2022-09-01,25000.0,-88.25371965544244
2022-10-01,90120833.33333333,360383.3333333333
2022-11-01,910000.0,-98.9902445790374
2022-12-01,32500.0,-96.42857142857143
2023-01-01,45016333.333333336,138411.79487179487
2023-02-01,204000.0,-99.54683115017512
2023-03-01,6279375.0,2978.125
2023-04-01,391562.5,-93.76430775355827
2023-05-01,22480000.0,5641.101356743815
2023-06-01,74503750.0,231.42237544483984
2023-07-01,267109714.2857143,258.5184830102032
2023-08-01,749000.0,-99.71959087972412
2023-09-01,77279222.22222222,10217.653167185877
2023-10-01,131306960.0,69.91237259404208
2023-11-01,305504523.8095238,132.6643795648942
2023-12-01,72101750.0,-76.39912198322993
2024-01-01,27240785.714285713,-62.21896734228266
2024-02-01,34502857.14285714,26.658817791599265
2024-03-01,47107600.0,36.53246107982777
2024-04-01,33437181.818181816,-29.01955986256609
2024-05-01,23895000.0,-28.537637741327693
2024-06-01,5189312.5,-78.28285206110066
2024-07-01,57218923.07692308,1002.6301283054948
2024-08-01,2027150.0,-96.45720350717755
2024-09-01,60714728.94736842,2895.0782599890695
2024-10-01,22433983.870967742,-63.0501786635414
2024-11-01,189741284.0909091,745.7761456111992
2024-12-01,90496597.56097561,-52.30526767299794
2025-01-01,80211187.51785715,-11.365521268562906
2025-02-01,111610848.21428572,39.14623591557993
2025-03-01,100644921.05263157,-9.825144542043319
2025-04-01,111997382.82828283,11.279716509206228
2025-05-01,47757352.27272727,-57.35851046988301
2025-06-01,48545252.26923077,1.64979832215999
2025-07-01,85185029.41830066,75.47551086121996
2025-08-01,53250936.549295776,-37.487916699767375
2025-09-01,54083355.5,1.5632005832115992
2025-10-01,58340984.214574896,7.872345706388151
2025-11-01,145293555.13131315,149.04200209741325
2025-12-01,66435227.15869981,-54.27517270214972
2026-01-01,80474712.67642276,21.132592027096653
2026-02-01,65493738.022321425,-18.615754136753093
2026-03-01,54369239.343465045,-16.98559131724159
