,prix_fcfa,surface_m2,nb_chambres,nb_salons,nb_sdb,annee_pub,mois_pub
prix_fcfa,1.0,0.2785720131773384,0.18410748536950802,-0.029617728058740186,0.140183736587334,0.08346805736412605,-0.035904709658470035
surface_m2,0.2785720131773384,1.0,0.2804681368113488,-0.006384195254436043,0.07567967142044017,-0.022671565496451083,0.02205519814910865
nb_chambres,0.18410748536950802,0.2804681368113488,1.0,0.041794817757486454,0.44857138432456845,-0.08827914381916718,0.042828308278705735
nb_salons,-0.029617728058740186,-0.006384195254436043,0.041794817757486454,1.0,-0.030312916772768872,-0.11583640238934226,0.04467939437966541
nb_sdb,0.140183736587334,0.07567967142044017,0.44857138432456845,-0.030312916772768872,1.0,0.042806282747218156,-0.06169525201232423
annee_pub,0.08346805736412605,-0.022671565496451083,-0.08827914381916718,-0.11583640238934226,0.042806282747218156,1.0,-0.6766523734317256
mois_pub,-0.035904709658470035,0.02205519814910865,0.042828308278705735,0.04467939437966541,-0.06169525201232423,-0.6766523734317256,1.0
